freq	mag(S(1,1))
7.59500000000000064E5	9.36686436734518857E-1
7.60999999999999943E5	9.41010987262101928E-1
7.62500000000000000E5	9.43906997260661207E-1
7.64000000000000057E5	9.42695920336220539E-1
7.65499999999999936E5	9.41556030037819625E-1
7.66999999999999993E5	9.40483958212162641E-1
7.68499999999999961E5	9.42849814025360722E-1
7.70000000000000018E5	9.45344150068517841E-1
7.71500000000000075E5	9.47690026690524867E-1
7.72999999999999954E5	9.50673155622469856E-1
7.74500000000000011E5	9.53957547359575031E-1
7.75999999999999979E5	9.57067452867712554E-1
7.77500000000000036E5	9.59267269295098046E-1
7.79000000000000092E5	9.59796911241928719E-1
7.80499999999999972E5	9.60315044867349243E-1
7.82000000000000028E5	9.60831918602621826E-1
7.83499999999999908E5	9.62050518567829904E-1
7.84999999999999964E5	9.63220943443496225E-1
7.86500000000000021E5	9.64345525264525349E-1
7.87999999999999989E5	9.66225976476018111E-1
7.89500000000000046E5	9.68337467908592409E-1
7.90999999999999925E5	9.70349146991109279E-1
7.92499999999999982E5	9.71868846922049556E-1
7.94000000000000039E5	9.72762054376846308E-1
7.95500000000000007E5	9.73627993394407021E-1
7.97000000000000064E5	9.74470441730985470E-1
7.98499999999999943E5	9.75307680556274548E-1
8.00000000000000000E5	9.76112963647878829E-1


